,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
21,The Sinner,2017–2021,TV-MA,45,"Crime, Drama, Mystery",7.9,NA,Anthology series that examines how and why ordinary people commit brutal crimes.,"Stars:BillPullman,JessicaHecht,DohnNorwood,AdamLeFevre",103885
22,Chucky,2021– ,TV-MA,42,"Horror, Mystery, Thriller",7.5,NA,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets.","Stars:ZackaryArthur,BjorgvinArnarson,AlyviaAlynLind,TeoBriones",9059
23,NCIS,2003– ,TV-14,60,"Action, Crime, Drama",7.7,NA,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Stars:MarkHarmon,DavidMcCallum,SeanMurray,PauleyPerrette",133495
24,Locke & Key,2020– ,TV-14,48,"Drama, Fantasy, Horror",7.4,NA,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","Stars:DarbyStanchfield,ConnorJessup,EmiliaJones,JacksonRobertScott",66355
25,Jurassic World: Dominion,2022,NA,NA,"Action, Adventure, Sci-Fi",NA,NA,Plot kept under wraps.,"Director:ColinTrevorrow|Stars:DaniellaPineda,BryceDallasHoward,ChrisPratt,JeffGoldblum",
26,Money Heist,2017–2021,TV-MA,70,"Action, Crime, Drama",8.2,NA,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"Stars:ÚrsulaCorberó,ÁlvaroMorte,ItziarItuño,PedroAlonso",405264
27,Supernatural,2005–2020,TV-14,44,"Drama, Fantasy, Horror",8.4,NA,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Stars:JaredPadalecki,JensenAckles,JimBeaver,MishaCollins",414740
28,Criminal Minds,2005–2020,TV-14,42,"Crime, Drama, Mystery",8.1,NA,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.","Stars:MatthewGrayGubler,KirstenVangsness,A.J.Cook,JoeMantegna",180637
29,Law & Order: Special Victims Unit,1999– ,TV-14,60,"Crime, Drama, Mystery",8.0,NA,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.","Stars:MariskaHargitay,ChristopherMeloni,Ice-T,DannFlorek",94855
30,Only Murders in the Building,2021– ,TV-MA,30,"Comedy, Crime, Drama",8.2,NA,Three strangers who share an obsession with true crime suddenly find themselves caught up in one.,"Stars:SteveMartin,MartinShort,SelenaGomez,AaronDominguez",45229
31,Black Mirror,2011–2019,TV-MA,60,"Drama, Sci-Fi, Thriller",8.8,NA,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Stars:DanielLapaine,HannahJohn-Kamen,MichaelaCoel,BeatriceRobertson-Jones",489559
32,Fear the Walking Dead,2015– ,TV-MA,44,"Drama, Horror, Sci-Fi",6.9,NA,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.","Stars:KimDickens,FrankDillane,CliffCurtis,RubénBlades",122556
33,Old,2021,PG-13,108,"Drama, Horror, Mystery",5.8,55,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","Director:M.NightShyamalan|Stars:GaelGarcíaBernal,VickyKrieps,RufusSewell,AlexWolff",69961
34,The Wire,2002–2008,TV-MA,59,"Crime, Drama, Thriller",9.3,NA,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Stars:DominicWest,LanceReddick,SonjaSohn,WendellPierce",310261
35,Ozark,2017–2022,TV-MA,60,"Crime, Drama, Thriller",8.4,NA,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","Stars:JasonBateman,LauraLinney,SofiaHublitz,SkylarGaertner",219305
36,The Vampire Diaries,2009–2017,TV-14,43,"Drama, Fantasy, Horror",7.7,NA,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Stars:NinaDobrev,PaulWesley,IanSomerhalder,KatGraham",301294
37,Titane,2021,R,108,"Drama, Horror, Sci-Fi",6.7,74,"Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.","Director:JuliaDucournau|Stars:VincentLindon,AgatheRousselle,GaranceMarillier,LaïsSalameh",18349
38,Army of the Dead,2021,R,148,"Action, Crime, Horror",5.8,57,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","Director:ZackSnyder|Stars:DaveBautista,EllaPurnell,AnadelaReguera,OmariHardwick",154283
39,The Little Things,2021,R,128,"Crime, Drama, Mystery",6.3,54,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.","Director:JohnLeeHancock|Stars:DenzelWashington,RamiMalek,JaredLeto,ChrisBauer",81794
40,The Handmaid's Tale,2017– ,TV-MA,60,"Drama, Sci-Fi, Thriller",8.4,NA,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.","Stars:ElisabethMoss,YvonneStrahovski,JosephFiennes,AnnDowd",207258
41,Nocturnal Animals,2016,R,116,"Drama, Thriller",7.5,67,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.","Director:TomFord|Stars:AmyAdams,JakeGyllenhaal,MichaelShannon,AaronTaylor-Johnson",258168
42,9-1-1,2018– ,TV-14,43,"Action, Drama, Thriller",7.8,NA,"Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking and heart-stopping situations.","Stars:AngelaBassett,AishaHinds,PeterKrause,OliverStark",28443
43,Spectre,I 2015,PG-13,148,"Action, Adventure, Thriller",6.8,60,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","Director:SamMendes|Stars:DanielCraig,ChristophWaltz,LéaSeydoux,RalphFiennes",418671
44,True Detective,2014–2019,TV-MA,55,"Crime, Drama, Mystery",8.9,NA,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Stars:VinceVaughn,ColinFarrell,RachelMcAdams,TaylorKitsch",528458
45,Fargo,2014– ,TV-MA,53,"Crime, Drama, Thriller",8.9,NA,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Stars:BillyBobThornton,MartinFreeman,AllisonTolman,ColinHanks",350611
46,Knives Out,2019,PG-13,130,"Comedy, Crime, Drama",7.9,82,"A detective investigates the death of a patriarch of an eccentric, combative family.","Director:RianJohnson|Stars:DanielCraig,ChrisEvans,AnadeArmas,JamieLeeCurtis",552504
47,Mr. Robot,2015–2019,TV-MA,49,"Crime, Drama, Thriller",8.5,NA,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Stars:RamiMalek,ChristianSlater,CarlyChaikin,MartinWallström",359769
48,Zeros and Ones,2021,R,85,"Action, Adventure, Drama",3.3,59,"An American soldier stationed in Rome with the Vatican blown up, embarks on a hero's journey to uncover and defend against an unknown enemy threatening the entire world.","Director:AbelFerrara|Stars:EthanHawke,ValerioMastandrea,SalvatoreRuocco,CristinaChiriac",846
49,Big Sky,2020– ,TV-14,60,"Crime, Drama, Mystery",6.8,NA,A private detective teams up with an ex-cop to solve a kidnapping case in Montana.,"Stars:KatherynWinnick,KylieBunbury,BrianGeraghty,DedeePfeiffer",13205
