,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
22,Supernatural,2005–2020,TV-14,44,"Drama, Fantasy, Horror",8.4,NA,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Stars:JaredPadalecki,JensenAckles,JimBeaver,MishaCollins",414740
23,Harry Potter and the Sorcerer's Stone,2001,PG,152,"Adventure, Family, Fantasy",7.6,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Director:ChrisColumbus|Stars:DanielRadcliffe,RupertGrint,RichardHarris,MaggieSmith",711686
24,Lucifer,2016–2021,TV-14,42,"Crime, Drama, Fantasy",8.1,NA,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Stars:TomEllis,LaurenGerman,KevinAlejandro,D.B.Woodside",295739
25,Outlander,2014– ,TV-MA,60,"Drama, Fantasy, Romance",8.4,NA,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Stars:CaitrionaBalfe,SamHeughan,DuncanLacroix,SophieSkelton",140974
26,Masters of the Universe: Revelation,2021– ,TV-PG,25,"Animation, Action, Adventure",5.2,NA,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars:ChrisWood,SarahMichelleGellar,LenaHeadey,MarkHamill",23905
27,What We Do in the Shadows,2016– ,TV-MA,30,"Comedy, Fantasy, Horror",8.6,NA,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.","Stars:KayvanNovak,MattBerry,NatasiaDemetriou,HarveyGuillén",56754
28,Attack on Titan,2013–2022,TV-MA,24,"Animation, Action, Adventure",9.0,NA,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:YûkiKaji,MarinaInoue,JoshGrelle,YuiIshikawa",261112
29,Loki,2021– ,TV-14,NA,"Action, Adventure, Fantasy",8.3,NA,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Stars:TomHiddleston,OwenWilson,GuguMbatha-Raw,SophiaDiMartino",228641
30,The Vampire Diaries,2009–2017,TV-14,43,"Drama, Fantasy, Horror",7.7,NA,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Stars:NinaDobrev,PaulWesley,IanSomerhalder,KatGraham",301294
31,One Piece,1999– ,TV-14,24,"Animation, Action, Adventure",8.8,NA,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Stars:MayumiTanaka,TonyBeck,LaurentVernin,AkemiOkamura",89013
32,Legacies,2018– ,TV-14,45,"Adventure, Drama, Fantasy",7.4,NA,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.","Stars:DanielleRoseRussell,QuincyFouse,MatthewDavis,AriaShahghasemi",25584
33,Elf,2003,PG,97,"Adventure, Comedy, Family",7.0,64,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.","Director:JonFavreau|Stars:WillFerrell,JamesCaan,BobNewhart,ZooeyDeschanel",242355
34,Ghostbusters II,1989,PG,108,"Action, Comedy, Fantasy",6.6,56,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,"Director:IvanReitman|Stars:BillMurray,DanAykroyd,SigourneyWeaver,HaroldRamis",194546
35,Ghosts,2021– ,TV-PG,NA,"Comedy, Fantasy",7.4,NA,"A young couple's dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents.","Stars:RoseMcIver,UtkarshAmbudkar,BrandonScottJones,DaniellePinnock",4530
36,Lost,2004–2010,TV-14,44,"Adventure, Drama, Fantasy",8.3,NA,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Stars:JorgeGarcia,JoshHolloway,YunjinKim,EvangelineLilly",523956
37,Mary Poppins,1964,G,139,"Comedy, Family, Fantasy",7.8,88,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","Director:RobertStevenson|Stars:JulieAndrews,DickVanDyke,DavidTomlinson,GlynisJohns",165094
38,Ghostbusters: Answer the Call,2016,PG-13,117,"Action, Comedy, Fantasy",6.5,60,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","Director:PaulFeig|Stars:MelissaMcCarthy,KristenWiig,KateMcKinnon,LeslieJones",217348
39,The Amazing Spider-Man,2012,PG-13,136,"Action, Adventure, Fantasy",6.9,66,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","Director:MarcWebb|Stars:AndrewGarfield,EmmaStone,RhysIfans,IrrfanKhan",589206
40,The Wizard of Oz,1939,PG,102,"Adventure, Family, Fantasy",8.0,92,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Directors:VictorFleming,GeorgeCukor,MervynLeRoy,NormanTaurog,RichardThorpe,KingVidor|Stars:JudyGarland,FrankMorgan,RayBolger,BertLahr",381810
41,The Green Knight,2021,R,130,"Adventure, Drama, Fantasy",6.6,85,A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,"Director:DavidLowery|Stars:DevPatel,AliciaVikander,JoelEdgerton,SaritaChoudhury",64395
42,The Umbrella Academy,2019– ,TV-14,60,"Action, Adventure, Comedy",8.0,NA,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","Stars:ElliotPage,TomHopper,DavidCastañeda,EmmyRaver-Lampman",187268
43,Titans,I 2018– ,TV-MA,45,"Action, Adventure, Crime",7.6,NA,A team of young superheroes combat evil and other perils.,"Stars:BrentonThwaites,AnnaDiop,RyanPotter,TeaganCroft",85844
44,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Director:PeterJackson|Stars:ElijahWood,IanMcKellen,OrlandoBloom,SeanBean",1747741
45,The Amazing Spider-Man 2,2014,PG-13,142,"Action, Adventure, Fantasy",6.5,53,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.","Director:MarcWebb|Stars:AndrewGarfield,EmmaStone,JamieFoxx,PaulGiamatti",442191
46,Hit-Monkey,2021– ,TV-MA,22,"Animation, Action, Adventure",8.0,NA,"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld.","Stars:FredTatasciore,JasonSudeikis,OliviaMunn,GeorgeTakei",1463
47,WandaVision,2021,TV-PG,350,"Action, Comedy, Drama",8.0,NA,"Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.","Stars:ElizabethOlsen,PaulBettany,KathrynHahn,TeyonahParris",244751
48,Daredevil,2015–2018,TV-MA,54,"Action, Crime, Drama",8.6,NA,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Stars:CharlieCox,VincentD'Onofrio,DeborahAnnWoll,EldenHenson",385610
49,Inside Job,2021– ,TV-MA,30,"Animation, Comedy, Fantasy",7.7,NA,"For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job.","Stars:LizzyCaplan,ChristianSlater,ClarkDuke,TishaCampbell",9034
