,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
21,Law & Order: Special Victims Unit,1999– ,TV-14,60,"Crime, Drama, Mystery",8.0,NA,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.","Stars:MariskaHargitay,ChristopherMeloni,Ice-T,DannFlorek",94855
22,The Batman,2022,NA,NA,"Action, Crime, Drama",NA,NA,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","Director:MattReeves|Stars:BarryKeoghan,PeterSarsgaard,AndySerkis,RobertPattinson",
23,The Expanse,2015– ,TV-14,60,"Drama, Mystery, Sci-Fi",8.5,NA,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Stars:WesChatham,StevenStrait,DominiqueTipper,ShohrehAghdashloo",126888
24,Only Murders in the Building,2021– ,TV-MA,30,"Comedy, Crime, Drama",8.2,NA,Three strangers who share an obsession with true crime suddenly find themselves caught up in one.,"Stars:SteveMartin,MartinShort,SelenaGomez,AaronDominguez",45229
25,Riverdale,2017– ,TV-14,45,"Crime, Drama, Mystery",6.7,NA,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","Stars:LiliReinhart,K.J.Apa,CamilaMendes,ColeSprouse",133331
26,Shetland,2013– ,TV-14,60,"Crime, Drama, Mystery",8.2,NA,DI Jimmy Perez and his team investigate crimes within the close knit island community of Shetland.,"Stars:DouglasHenshall,AlisonO'Donnell,StevenRobertson,MarkBonnar",14489
27,La Brea,2021– ,TV-14,NA,"Drama, Mystery, Sci-Fi",5.5,NA,"A massive sinkhole mysteriously opens up in Los Angeles, separating part of a family in an unexplainable primeval world, alongside a desperate group of strangers.","Stars:NatalieZea,EoinMacken,ChikéOkonkwo,KarinaLogue",6148
28,Old,2021,PG-13,108,"Drama, Horror, Mystery",5.8,55,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","Director:M.NightShyamalan|Stars:GaelGarcíaBernal,VickyKrieps,RufusSewell,AlexWolff",69961
29,The Vampire Diaries,2009–2017,TV-14,43,"Drama, Fantasy, Horror",7.7,NA,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Stars:NinaDobrev,PaulWesley,IanSomerhalder,KatGraham",301294
30,Legacies,2018– ,TV-14,45,"Adventure, Drama, Fantasy",7.4,NA,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.","Stars:DanielleRoseRussell,QuincyFouse,MatthewDavis,AriaShahghasemi",25584
31,The Little Things,2021,R,128,"Crime, Drama, Mystery",6.3,54,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.","Director:JohnLeeHancock|Stars:DenzelWashington,RamiMalek,JaredLeto,ChrisBauer",81794
32,Dalgliesh,2021– ,NA,NA,"Crime, Drama, Mystery",7.8,NA,Follows Dalgliesh's crime-fighting career from 1970s England to the present day.,"Stars:BertieCarvel,CarlyssPeer,JeremyIrvine,JonjoO'Neill",1304
33,Westworld,2016– ,TV-MA,62,"Drama, Mystery, Sci-Fi",8.6,NA,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Stars:EvanRachelWood,JeffreyWright,EdHarris,ThandiweNewton",457512
34,Midsomer Murders,1997– ,TV-14,90,"Crime, Drama, Mystery",7.8,NA,A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.,"Stars:JohnNettles,JaneWymark,BarryJackson,NeilDudgeon",29291
35,House M.D.,2004–2012,TV-14,44,"Drama, Mystery",8.7,NA,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Stars:HughLaurie,OmarEpps,RobertSeanLeonard,JesseSpencer",435967
36,CSI: Vegas,2021– ,TV-14,NA,"Crime, Drama, Mystery",7.6,NA,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City.","Stars:PaulaNewsome,MattLauria,MandeepDhillon,MelRodriguez",3253
37,True Detective,2014–2019,TV-MA,55,"Crime, Drama, Mystery",8.9,NA,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Stars:VinceVaughn,ColinFarrell,RachelMcAdams,TaylorKitsch",528458
38,Knives Out,2019,PG-13,130,"Comedy, Crime, Drama",7.9,82,"A detective investigates the death of a patriarch of an eccentric, combative family.","Director:RianJohnson|Stars:DanielCraig,ChrisEvans,AnadeArmas,JamieLeeCurtis",552504
39,Bones,2005–2017,TV-14,40,"Comedy, Crime, Drama",7.8,NA,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","Stars:EmilyDeschanel,DavidBoreanaz,MichaelaConlin,T.J.Thyne",149322
