,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
31,The King,I 2019,R,140,"Biography, Drama, History",7.3,62,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.","Director:DavidMichôd|Stars:TomGlynn-Carney,GáborCzap,TomFisher,EdwardAshley",108842
32,Benedetta,2021,NA,131,"Biography, Drama, History",6.6,69,"A 17th-century nun in Italy suffers from disturbing religious and erotic visions. She is assisted by a companion, and the relationship between the two women develops into a romantic love affair.","Director:PaulVerhoeven|Stars:VirginieEfira,CharlotteRampling,DaphnePatakia,LambertWilson",4598
33,Emily in Paris,2020– ,TV-MA,30,"Comedy, Drama, Romance",7.0,NA,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.,"Stars:LilyCollins,PhilippineLeroy-Beaulieu,AshleyPark,LucasBravo",61082
34,Rent,2005,PG-13,135,"Drama, Musical, Romance",6.9,53,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.","Director:ChrisColumbus|Stars:TayeDiggs,WilsonJermaineHeredia,RosarioDawson,AnthonyRapp",50788
35,Two and a Half Men,2003–2015,TV-14,22,"Comedy, Romance",7.0,NA,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,"Stars:JonCryer,AshtonKutcher,AngusT.Jones,ConchataFerrell",251238
36,After We Fell,2021,R,98,"Drama, Romance",4.8,NA,"Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.","Director:CastilleLandon|Stars:JosephineLangford,HeroFiennesTiffin,LouiseLombard,ChancePerdomo",7168
37,Little Women,2019,PG,135,"Drama, Romance",7.8,91,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","Director:GretaGerwig|Stars:SaoirseRonan,EmmaWatson,FlorencePugh,ElizaScanlen",172457
38,Dickinson,2019–2021,TV-14,30,"Biography, Comedy, Drama",7.5,NA,An inside look at the world of writer Emily Dickinson.,"Stars:HaileeSteinfeld,AdrianEnscoe,TobyHuss,AnnaBaryshnikov",9698
39,Sex and the City,1998–2004,TV-MA,30,"Comedy, Drama, Romance",7.2,NA,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.,"Stars:SarahJessicaParker,KimCattrall,KristinDavis,CynthiaNixon",115319
40,Pride & Prejudice,2005,PG,129,"Drama, Romance",7.8,82,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?","Director:JoeWright|Stars:KeiraKnightley,MatthewMacfadyen,BrendaBlethyn,DonaldSutherland",276878
41,Bridgerton,2020– ,TV-MA,60,"Drama, Romance",7.3,NA,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","Stars:PhoebeDynevor,Regé-JeanPage,NicolaCoughlan,JonathanBailey",92034
42,Buffy the Vampire Slayer,1997–2003,TV-14,44,"Action, Drama, Fantasy",8.2,NA,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.","Stars:SarahMichelleGellar,NicholasBrendon,AlysonHannigan,AnthonyHead",138970
43,A Kiss Before Christmas,2021 TV Movie,TV-G,83,Romance,7.5,NA,"Ethan is a married father with two teens. He wakes up one morning and is shocked to find he isn't married, he doesn't have kids, and he's CEO of his company. His wife is the key to be able to reclaim his original life and family.","Director:JeffBeesley|Stars:JamesDenton,MariluHenner,RodWilson,JohnB.Lowe",515
44,Station 19,2018– ,TV-14,60,"Action, Drama, Romance",6.8,NA,"This spinoff of the critically acclaimed show Grey's Anatomy follows the lives of the men and women of firehouse station 19 in Seattle, Washington.","Stars:JainaLeeOrtiz,JasonGeorge,GreyDamon,BarrettDoss",11887
45,Love Life,2020– ,TV-MA,35,"Comedy, Romance",7.5,NA,Anna Kendrick stars in a fresh take on a romantic comedy anthology series about the journey from first love to lasting love.,"Stars:AnnaKendrick,ZoeChao,PeterVack,SashaCompère",11948
46,Bunty Aur Babli 2,2021,NA,138,"Comedy, Romance",3.7,NA,Bunty and Babli are forced out of retirement after a spate of robberies with their trademark sigil start appearing across India.,"Director:VarunV.Sharma|Stars:SaifAliKhan,RaniMukerji,SiddhantChaturvedi,SharvariWagh",1267
47,Once Upon a Time,2011–2018,TV-PG,60,"Adventure, Fantasy, Romance",7.7,NA,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"Stars:GinniferGoodwin,JenniferMorrison,LanaParrilla,RobertCarlyle",216096
48,Annette,2021,R,141,"Drama, Musical, Romance",6.4,67,A stand-up comedian and his opera singer wife have a two-year-old daughter with a surprising gift.,"Director:LeosCarax|Stars:AdamDriver,MarionCotillard,SimonHelberg,DevynMcDowell",12135
49,Five More Minutes,2021 TV Movie,NA,83,Romance,7.7,NA,"Follows the story of Clara, who wishes she had more time with her late grandfather at Christmas. Her holiday wish seems to come true as she comes across his journal and looks back on her time with him.","Director:Linda-LisaHayter|Stars:NikkiDeloach,DavidHaydn-Jones,SherryMiller,SergeHoude",337
