,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
22,Money Heist,2017–2021,TV-MA,70,"Action, Crime, Drama",8.2,NA,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"Stars:ÚrsulaCorberó,ÁlvaroMorte,ItziarItuño,PedroAlonso",405264
23,Criminal Minds,2005–2020,TV-14,42,"Crime, Drama, Mystery",8.1,NA,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.","Stars:MatthewGrayGubler,KirstenVangsness,A.J.Cook,JoeMantegna",180637
24,Castle,2009–2016,TV-14,43,"Comedy, Crime, Drama",8.1,NA,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","Stars:NathanFillion,StanaKatic,SusanSullivan,JonHuertas",151256
25,West Side Story,2021,PG-13,156,"Crime, Drama, Musical",NA,NA,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.","Director:StevenSpielberg|Stars:AnselElgort,RachelZegler,ArianaDeBose,DavidAlvarez",
26,Law & Order: Special Victims Unit,1999– ,TV-14,60,"Crime, Drama, Mystery",8.0,NA,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.","Stars:MariskaHargitay,ChristopherMeloni,Ice-T,DannFlorek",94855
27,The Batman,2022,NA,NA,"Action, Crime, Drama",NA,NA,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","Director:MattReeves|Stars:BarryKeoghan,PeterSarsgaard,AndySerkis,RobertPattinson",
28,Tiger King,2020–2021,TV-MA,45,"Documentary, Biography, Crime",7.5,NA,"A rivalry between big cat eccentrics takes a dark turn when Joe Exotic, a controversial animal park boss, is caught in a murder-for-hire plot.","Stars:JohnReinke,KelciSaffery,JohnFinlay,RickKirkham",73978
29,Lucifer,2016–2021,TV-14,42,"Crime, Drama, Fantasy",8.1,NA,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Stars:TomEllis,LaurenGerman,KevinAlejandro,D.B.Woodside",295739
30,The Boys,2019– ,TV-MA,60,"Action, Crime, Drama",8.7,NA,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Stars:KarlUrban,JackQuaid,AntonyStarr,ErinMoriarty",325718
31,Only Murders in the Building,2021– ,TV-MA,30,"Comedy, Crime, Drama",8.2,NA,Three strangers who share an obsession with true crime suddenly find themselves caught up in one.,"Stars:SteveMartin,MartinShort,SelenaGomez,AaronDominguez",45229
32,Riverdale,2017– ,TV-14,45,"Crime, Drama, Mystery",6.7,NA,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","Stars:LiliReinhart,K.J.Apa,CamilaMendes,ColeSprouse",133331
33,Better Call Saul,2015–2022,TV-MA,46,"Crime, Drama",8.8,NA,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Stars:BobOdenkirk,RheaSeehorn,JonathanBanks,PatrickFabian",365619
34,American Crime Story,2016– ,TV-MA,42,"Biography, Crime, Drama",8.4,NA,An anthology series centered around America's most notorious crimes and criminals.,"Stars:SarahPaulson,AnnaleighAshford,SterlingK.Brown,KennethChoi",90768
35,Shetland,2013– ,TV-14,60,"Crime, Drama, Mystery",8.2,NA,DI Jimmy Perez and his team investigate crimes within the close knit island community of Shetland.,"Stars:DouglasHenshall,AlisonO'Donnell,StevenRobertson,MarkBonnar",14489
36,Brooklyn Nine-Nine,2013–2021,TV-14,22,"Comedy, Crime",8.4,NA,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Stars:AndySamberg,StephanieBeatriz,TerryCrews,MelissaFumero",273068
37,The Rookie,2018– ,TV-14,43,"Crime, Drama",8.0,NA,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.","Stars:AlyssaDiaz,RichardT.Jones,MelissaO'Neil,EricWinter",29646
38,The Wire,2002–2008,TV-MA,59,"Crime, Drama, Thriller",9.3,NA,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Stars:DominicWest,LanceReddick,SonjaSohn,WendellPierce",310261
39,The Godfather,1972,R,175,"Crime, Drama",9.2,100,The Godfather follows Vito Corleone Don of the Corleone family as he passes the mantel to his son Michael,"Director:FrancisFordCoppola|Stars:MarlonBrando,AlPacino,JamesCaan,DianeKeaton",1722328
40,Ozark,2017–2022,TV-MA,60,"Crime, Drama, Thriller",8.4,NA,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","Stars:JasonBateman,LauraLinney,SofiaHublitz,SkylarGaertner",219305
41,Cruella,2021,PG-13,134,"Adventure, Comedy, Crime",7.4,59,A live-action prequel feature film following a young Cruella de Vil.,"Director:CraigGillespie|Stars:EmmaStone,EmmaThompson,JoelFry,PaulWalterHauser",192357
42,Army of the Dead,2021,R,148,"Action, Crime, Horror",5.8,57,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","Director:ZackSnyder|Stars:DaveBautista,EllaPurnell,AnadelaReguera,OmariHardwick",154283
43,The Little Things,2021,R,128,"Crime, Drama, Mystery",6.3,54,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.","Director:JohnLeeHancock|Stars:DenzelWashington,RamiMalek,JaredLeto,ChrisBauer",81794
44,Dalgliesh,2021– ,NA,NA,"Crime, Drama, Mystery",7.8,NA,Follows Dalgliesh's crime-fighting career from 1970s England to the present day.,"Stars:BertieCarvel,CarlyssPeer,JeremyIrvine,JonjoO'Neill",1304
45,Midsomer Murders,1997– ,TV-14,90,"Crime, Drama, Mystery",7.8,NA,A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.,"Stars:JohnNettles,JaneWymark,BarryJackson,NeilDudgeon",29291
46,Antim: The Final Truth,2021,NA,138,"Action, Crime, Drama",8.2,NA,The cop played by Salman fights the land mafia in the film.,"Director:MaheshManjrekar|Stars:SalmanKhan,AayushSharma,MahimaMakwana,MaheshManjrekar",26334
47,CSI: Vegas,2021– ,TV-14,NA,"Crime, Drama, Mystery",7.6,NA,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City.","Stars:PaulaNewsome,MattLauria,MandeepDhillon,MelRodriguez",3253
48,True Detective,2014–2019,TV-MA,55,"Crime, Drama, Mystery",8.9,NA,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Stars:VinceVaughn,ColinFarrell,RachelMcAdams,TaylorKitsch",528458
49,BMF,2021– ,TV-MA,60,"Biography, Crime, Drama",7.3,NA,Two brothers who rose from the decaying streets of southwest Detroit in the late 1980's and gave birth to one of the most influential crime families in the country.,"Stars:RussellHornsby,Da'Vinchi,MicholeBrianaWhite,EricKofi-Abrefa",2228
