,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
26,Marry Me,2022,PG-13,112,"Comedy, Music, Romance",NA,NA,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.","Director:KatCoiro|Stars:OwenWilson,JenniferLopez,UtkarshAmbudkar,ChloeColeman",
27,A Million Little Things,2018– ,TV-14,43,"Comedy, Drama, Romance",7.9,NA,A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend.,"Stars:DavidGiuntoli,RomanyMalco,AllisonMiller,ChristinaMoses",11461
28,White Christmas,1954,Not Rated,120,"Comedy, Musical, Romance",7.6,56,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,"Director:MichaelCurtiz|Stars:BingCrosby,DannyKaye,RosemaryClooney,Vera-Ellen",37162
29,Desperate Housewives,2004–2012,TV-14,45,"Comedy, Drama, Mystery",7.5,NA,"Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor.","Stars:TeriHatcher,FelicityHuffman,MarciaCross,EvaLongoria",122612
30,The Princess Switch,2018,TV-PG,101,"Comedy, Drama, Family",6.1,NA,"Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days.","Director:MikeRohl|Stars:VanessaHudgens,SamPalladio,NickSagar,AlexaAdeosun",25403
31,Enchanted,2007,PG,107,"Animation, Adventure, Comedy",7.0,75,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.","Director:KevinLima|Stars:AmyAdams,SusanSarandon,JamesMarsden,PatrickDempsey",190237
32,Four Christmases,2008,PG-13,88,"Comedy, Drama, Romance",5.7,41,A couple struggles to visit all four of their divorced parents on Christmas.,"Director:SethGordon|Stars:ReeseWitherspoon,VinceVaughn,MarySteenburgen,RobertDuvall",68402
33,The Good Place,2016–2020,TV-PG,22,"Comedy, Drama, Fantasy",8.2,NA,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,"Stars:KristenBell,WilliamJacksonHarper,JameelaJamil,D'ArcyCarden",136347
34,Sex/Life,2021– ,TV-MA,NA,"Comedy, Drama, Romance",5.4,NA,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,"Stars:SarahShahi,MikeVogel,AdamDemos,MargaretOdette",17450
35,Insecure,2016–2021,TV-MA,30,"Comedy, Romance",7.9,NA,Follows the awkward experiences and racy tribulations of a modern-day African-American woman.,"Stars:IssaRae,YvonneOrji,JayEllis,NatashaRothwell",15318
36,Saved by the Bell,1989–1992,TV-PG,30,"Comedy, Family, Romance",7.0,NA,"A close-knit group of six friends get through their teens together while attending Bayside High School in Palisades, California.","Stars:Mark-PaulGosselaar,MarioLopez,DustinDiamond,LarkVoorhies",33991
37,The Worst Person in the World,2021,R,127,"Comedy, Drama, Romance",8.1,88,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.","Director:JoachimTrier|Stars:RenateReinsve,AndersDanielsenLie,MiaMcGovernZaini,MariaGraziaDiMeo",3279
38,Grease,1978,PG,110,"Comedy, Musical, Romance",7.2,70,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","Director:RandalKleiser|Stars:JohnTravolta,OliviaNewton-John,StockardChanning,JeffConaway",256082
39,The Princess Switch: Switched Again,2020,TV-G,96,"Comedy, Drama, Family",5.4,NA,"When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.","Director:MikeRohl|Stars:JohnJack,VanessaHudgens,SamPalladio,MarkFleischmann",9589
40,Home for the Holidays,1995,PG-13,103,"Comedy, Drama, Romance",6.6,56,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.","Director:JodieFoster|Stars:HollyHunter,AnneBancroft,RobertDowneyJr.,CharlesDurning",12886
41,Cinderella,I 2021,PG,113,"Adventure, Comedy, Family",4.2,41,"A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true.","Director:KayCannon|Stars:CamilaCabello,BillyPorter,NicholasGalitzine,IdinaMenzel",36068
42,Pretty Woman,1990,R,119,"Comedy, Romance",7.1,51,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.","Director:GarryMarshall|Stars:RichardGere,JuliaRoberts,JasonAlexander,LauraSanGiacomo",307368
43,Just Friends,I 2005,PG-13,96,"Comedy, Romance",6.2,47,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer.","Director:RogerKumble|Stars:RyanReynolds,AmySmart,AnnaFaris,ChrisKlein",112568
44,Scott Pilgrim vs. the World,2010,PG-13,112,"Action, Comedy, Fantasy",7.5,69,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.","Director:EdgarWright|Stars:MichaelCera,MaryElizabethWinstead,KieranCulkin,AnnaKendrick",406215
45,And Just Like That...,2021– ,NA,NA,"Comedy, Drama, Romance",NA,NA,"The series will follow Carrie, Miranda and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s.","Stars:SarahJessicaParker,KristinDavis,NicoleAriParker,ChrisNoth",
46,Happiest Season,2020,PG-13,102,"Comedy, Drama, Romance",6.6,69,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.","Director:CleaDuVall|Stars:KristenStewart,MackenzieDavis,MarySteenburgen,VictorGarber",32572
47,Love & Other Drugs,2010,R,112,"Comedy, Drama, Romance",6.7,55,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.","Director:EdwardZwick|Stars:JakeGyllenhaal,AnneHathaway,JudyGreer,OliverPlatt",193566
48,Just Short of Perfect,2021,TV-14,94,"Comedy, Romance",5.2,NA,"A divorced lawyer falls for a charismatic cardiologist. But when their difference in size leads to family friction, is she ready to listen to her heart?","Director:AleMcHaddo|Stars:JulianaPaes,LeandroHassum,MarceloLaham,LuanaMartau",509
49,"Crazy, Stupid, Love.",2011,PG-13,118,"Comedy, Drama, Romance",7.4,68,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","Directors:GlennFicarra,JohnRequa|Stars:SteveCarell,RyanGosling,JulianneMoore,EmmaStone",496457
