,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
23,Yellowjackets,2021– ,TV-MA,NA,"Drama, Horror, Mystery",7.9,NA,A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Ontario wilderness.,"Stars:MelanieLynskey,SophieThatcher,TawnyCypress,EllaPurnell",2332
24,Dexter,2006–2013,TV-MA,53,"Crime, Drama, Mystery",8.6,NA,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","Stars:MichaelC.Hall,JenniferCarpenter,DavidZayas,JamesRemar",688352
25,Ted Lasso,2020– ,TV-MA,30,"Comedy, Drama, Sport",8.8,NA,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Stars:JasonSudeikis,BrettGoldstein,BrendanHunt,NickMohammed",139493
26,Mayor of Kingstown,2021– ,TV-MA,NA,"Crime, Drama, Thriller",7.8,NA,"The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan--where the business of incarceration is the only thriving industry.","Stars:JeremyRenner,DianneWiest,HughDillon,TaylorHandley",2804
27,The Morning Show,I 2019– ,TV-MA,60,Drama,8.3,NA,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.","Stars:JenniferAniston,ReeseWitherspoon,BillyCrudup,MarkDuplass",82727
28,Doctor Who,2005– ,TV-PG,45,"Adventure, Drama, Family",8.6,NA,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Stars:JodieWhittaker,PeterCapaldi,PearlMackie,MattSmith",211119
29,Bruised,2020,R,129,"Drama, Sport",6.1,NA,A disgraced MMA fighter finds redemption in the cage and the courage to face her demons when the son she had given up as an infant unexpectedly reenters her life.,"Director:HalleBerry|Stars:HalleBerry,AdanCanto,SheilaAtim,AdrianeLenox",4737
30,The Humans,2021,R,108,Drama,6.1,78,"Set inside a pre-war duplex in downtown Manhattan, The Humans follows the course of an evening in which the Blake family gathers to celebrate Thanksgiving. As darkness falls outside the ...                See full summary »","Director:StephenKaram|Stars:RichardJenkins,JayneHoudyshell,AmySchumer,BeanieFeldstein",1501
31,The Harder They Fall,2021,R,139,"Action, Drama, Western",6.6,68,"When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge in this Western.","Director:JeymesSamuel|Stars:JonathanMajors,ZazieBeetz,RJCyler,EdiGathegi",38922
32,The French Dispatch,2021,R,107,"Comedy, Drama, Romance",7.5,74,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","Director:WesAnderson|Stars:BenicioDelToro,AdrienBrody,TildaSwinton,LéaSeydoux",31036
33,The Last Duel,2021,R,152,"Action, Drama, History",7.7,67,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,"Director:RidleyScott|Stars:MattDamon,AdamDriver,JodieComer,HarrietWalter",25132
34,Narcos: Mexico,2018–2021,TV-MA,50,"Crime, Drama",8.4,NA,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,"Stars:ScootMcNairy,JoséMaríaYazpik,AlejandroEdda,AlfonsoDosal",74285
35,The Walking Dead,2010–2022,TV-14,44,"Drama, Horror, Thriller",8.2,NA,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Stars:AndrewLincoln,NormanReedus,MelissaMcBride,LaurenCohan",914343
36,Cowboy Bebop,1998–1999,TV-14,24,"Animation, Action, Adventure",8.9,NA,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Stars:KôichiYamadera,UnshôIshizuka,MegumiHayashibara,SteveBlum",103536
37,Grey's Anatomy,2005– ,TV-14,41,"Drama, Romance",7.5,NA,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"Stars:EllenPompeo,ChandraWilson,JamesPickensJr.,JustinChambers",279859
38,Dhamaka,2021,TV-14,103,"Crime, Drama, Thriller",7.9,NA,"Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.","Director:RamMadhvani|Stars:KartikAaryan,MrunalThakur,AmrutaSubhash,VikasKumar",33052
39,A Boy Called Christmas,2021,PG,106,"Adventure, Drama, Family",6.8,NA,"In this origin story of Father Christmas, an ordinary boy (with a loyal pet mouse and a reindeer at his side) sets out on an extraordinary adventure to find his father who is on a quest to discover the fabled village of Elfhelm.","Director:GilKenan|Stars:MaggieSmith,IsabellaO'Sullivan,JoelFry,EdenLawrence",3913
40,Hanna,2019–2021,TV-MA,60,"Action, Drama",7.6,NA,"In equal parts high-concept thriller and coming-of-age drama, HANNA follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is.","Stars:EsmeCreed-Miles,MireilleEnos,ÁineRoseDaly,CherrelleSkeete",30827
41,Maid,2021,TV-MA,545,Drama,8.5,NA,"After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.","Stars:MargaretQualley,NickRobinson,RyleaNevaehWhittet,AndieMacDowell",51923
42,Finch,2021,PG-13,115,"Adventure, Drama, Sci-Fi",6.9,56,"On a post-apocalyptic earth, a robot, built to protect the life of his creator's beloved dog, learns about life, love, friendship and what it means to be human.","Director:MiguelSapochnik|Stars:TomHanks,CalebLandryJones,MarieWagenman,LoraMartinez-Cunningham",46435
43,Nightmare Alley,2021,R,150,"Action, Crime, Drama",NA,NA,An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,"Director:GuillermodelToro|Stars:RooneyMara,BradleyCooper,CateBlanchett,WillemDafoe",
44,Don't Look Up,2021,R,145,"Comedy, Drama, Sci-Fi",NA,NA,Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.,"Director:AdamMcKay|Stars:TimothéeChalamet,LeonardoDiCaprio,JenniferLawrence,MelanieLynskey",
45,Euphoria,2019– ,TV-MA,55,Drama,8.4,NA,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.","Stars:Zendaya,HunterSchafer,SydneySweeney,JacobElordi",82841
46,The Witcher,2019– ,TV-MA,60,"Action, Adventure, Drama",8.2,NA,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Stars:HenryCavill,AnnaShaffer,FreyaAllan,SimonCallow",365484
47,The Power of the Dog,2021,R,126,"Drama, Romance, Western",6.9,90,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.","Director:JaneCampion|Stars:BenedictCumberbatch,KirstenDunst,JessePlemons,KodiSmit-McPhee",5622
48,Peaky Blinders,2013– ,TV-MA,60,"Crime, Drama",8.8,NA,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Stars:CillianMurphy,PaulAnderson,HelenMcCrory,SophieRundle",427477
49,The Sopranos,1999–2007,TV-MA,55,"Crime, Drama",9.2,NA,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","Stars:JamesGandolfini,LorraineBracco,EdieFalco,MichaelImperioli",348552
